file,category,distance,block,trial,response,confidence,responseTime,reactionTime,correct
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N247010.jpg,Animall,Head,1,78,Animall,5,1.01456354395486,1.13351021544077,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N828029.jpg,Animall,FarBody,1,79,Animall,3,2.16900964430533,2.28786979732104,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_text7.jpg,NonAnimall,CloseBody,1,80,NonAnimall,4,1.10300673358142,1.22220426890999,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N826057.jpg,Animall,CloseBody,1,81,Animall,2,1.41155009460635,1.52987612457946,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_N115056.jpg,NonAnimall,Head,1,82,NonAnimall,5,0.765557518461719,0.885448386892676,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_land13.jpg,NonAnimall,FarBody,1,83,NonAnimall,4,0.997787656029686,1.11592405638658,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_N115084.jpg,NonAnimall,Head,1,84,NonAnimall,5,0.953699196921661,1.07785633346066,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N168068.jpg,Animall,Head,1,85,Animall,5,0.93654721067287,1.05593240028247,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn31.jpg,NonAnimall,Head,1,86,NonAnimall,4,1.41166545264423,1.52962644584477,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_land867.jpg,NonAnimall,FarBody,1,87,NonAnimall,5,0.811222272459418,0.930206869961694,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N707021.jpg,Animall,Head,1,88,Animall,5,1.05329062463716,0.891502307960764,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N289087.jpg,Animall,CloseBody,1,89,Animall,5,0.653003731044009,0.771292230114341,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N109070.jpg,Animall,MediumBody,1,90,Animall,5,0.628024787874892,0.746645928593352,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N247008.jpg,Animall,Head,1,91,Animall,5,0.693045575870201,0.81171649438329,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N314099.jpg,Animall,MediumBody,1,92,Animall,5,0.649907634593546,0.770011835964397,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N173035.jpg,Animall,MediumBody,1,93,Animall,5,0.697463547810912,0.816193725448102,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_text113.jpg,NonAnimall,MediumBody,1,94,Animall,5,1.03274624585174,1.1515589915216,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N130081.jpg,Animall,MediumBody,1,95,Animall,2,2.86952069588006,2.99024830409326,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N289063.jpg,Animall,FarBody,1,96,Animall,3,2.01515258057043,2.13382902997546,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_natu729.jpg,NonAnimall,Head,1,97,NonAnimall,3,1.37044948502444,1.49174558673985,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_land503.jpg,NonAnimall,MediumBody,1,98,NonAnimall,2,2.9126294022426,3.03171750577167,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N314057.jpg,Animall,MediumBody,1,99,Animall,1,1.87812157790177,1.99599368218333,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn39.jpg,NonAnimall,Head,1,100,Animall,2,1.65195879340172,1.7695140587166,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_text106.jpg,NonAnimall,CloseBody,1,101,NonAnimall,3,1.28668658831157,1.40866733156145,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N130063.jpg,Animall,Head,1,102,Animall,5,0.797417246503755,0.914995820261538,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N828048.jpg,Animall,FarBody,1,103,NonAnimall,5,1.36469423025846,1.48289818642661,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn35.jpg,NonAnimall,Head,1,104,Animall,1,1.89942328934558,2.01781687489711,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn60.jpg,NonAnimall,Head,1,105,Animall,2,1.48218273022212,1.59994935314171,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_natu160.jpg,NonAnimall,CloseBody,1,106,NonAnimall,4,1.03650130447932,1.15781873953529,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N136054.jpg,Animall,MediumBody,1,107,Animall,5,0.746853335760534,0.864644057350233,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_N127068.jpg,NonAnimall,Head,1,108,NonAnimall,4,1.15327908867039,1.27445864747278,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N160053.jpg,Animall,Head,1,109,Animall,2,1.79597922298126,1.91403384576552,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N123040.jpg,Animall,Head,1,110,Animall,1,1.88047732901759,1.99840750754811,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N268028.jpg,Animall,MediumBody,1,111,Animall,2,2.07841929607093,2.19725021440536,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N826037.jpg,Animall,CloseBody,1,112,Animall,2,1.88155110599473,2.00024572806433,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_land376.jpg,NonAnimall,CloseBody,1,113,Animall,3,1.59323054365814,1.71114926529117,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N816057.jpg,Animall,FarBody,1,114,NonAnimall,5,0.803268501069397,0.922791172051802,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_land743.jpg,NonAnimall,MediumBody,1,115,NonAnimall,5,0.797651517903432,0.915826239390299,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn190.jpg,NonAnimall,Head,1,116,NonAnimall,5,0.685301186982542,0.803212007274851,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N676064.jpg,Animall,Head,1,117,Animall,2,1.25151466554962,1.37574567855336,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N826076.jpg,Animall,Head,1,118,Animall,1,2.06923688366078,2.19332606950775,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_open67.jpg,NonAnimall,FarBody,1,119,NonAnimall,4,1.20255509926938,1.32093051192351,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn173.jpg,NonAnimall,Head,1,120,NonAnimall,4,0.981192706152797,1.09935636585578,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn202.jpg,NonAnimall,Head,2,1,NonAnimall,5,1.08673652401194,1.20743055222556,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_text14.jpg,NonAnimall,CloseBody,2,2,NonAnimall,2,1.88009372446686,1.9980361496564,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N209040.jpg,Animall,Head,2,3,Animall,1,1.7995237139985,1.91793468222022,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_N427097.jpg,Animall,Head,2,4,Animall,4,0.764525223057717,0.882853228366002,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_land253.jpg,NonAnimall,FarBody,2,5,NonAnimall,4,0.828597073676065,0.946061869617552,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N541022.jpg,Animall,CloseBody,2,6,Animall,3,1.91924510081299,2.04168332507834,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_N347015.jpg,NonAnimall,MediumBody,2,7,NonAnimall,5,0.937094370834529,1.05862434883602,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_natu393.jpg,NonAnimall,CloseBody,2,8,NonAnimall,5,0.802654575556517,0.920622680103406,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_bea5.jpg,NonAnimall,FarBody,2,9,NonAnimall,4,0.836726252455264,0.957843391457573,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bda_urb596.jpg,NonAnimall,CloseBody,2,10,Animall,2,1.76934931823052,1.89203603588976,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn213.jpg,NonAnimall,Head,2,11,NonAnimall,4,0.753115849336609,0.871463607763872,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N314064.jpg,Animall,FarBody,2,12,Animall,1,1.94259086018428,2.06099432217889,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N815027.jpg,Animall,CloseBody,2,13,Animall,2,1.47937423852272,1.59759399690665,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N112057.jpg,Animall,MediumBody,2,14,Animall,2,1.49923042021692,1.61770815378986,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\CloseBody\B_N816052.jpg,Animall,CloseBody,2,15,Animall,3,1.01997628062963,1.13756591593847,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N160059.jpg,Animall,MediumBody,2,16,Animall,2,1.70325159234926,1.82383263297379,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_land159.jpg,NonAnimall,MediumBody,2,17,NonAnimall,3,1.65368481678888,1.77844086638652,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\CloseBody\Bdn_land809.jpg,NonAnimall,CloseBody,2,18,NonAnimall,4,0.714877064805478,0.834546303609386,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\FarBody\Fdn_nat1004.jpg,NonAnimall,FarBody,2,19,NonAnimall,5,0.653424076270312,0.778041064273566,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\FarBody\F_N253028.jpg,Animall,FarBody,2,20,NonAnimall,3,1.36428297148086,1.48277255683206,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\Head\H_TV646.jpg,Animall,Head,2,21,Animall,2,1.53115019761026,1.64925578329712,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_objn47.jpg,NonAnimall,Head,2,22,NonAnimall,5,0.810072643915191,0.928710377309471,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N136034.jpg,Animall,MediumBody,2,23,Animall,5,0.654378149658442,0.774231487186626,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\Head\Hdn_natu337.jpg,NonAnimall,Head,2,24,Animall,2,1.6699589767959,1.79079364659265,0
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N130094.jpg,Animall,MediumBody,2,25,Animall,4,0.752899355720729,0.870879312045872,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\NonAnimall\MediumBody\Mdn_N347002.jpg,NonAnimall,MediumBody,2,26,NonAnimall,5,1.12029225076549,0.995498275151476,1
C:\Users\Home\Downloads\psychtool\AnimalDB\AnimalDB\Animall\MediumBody\M_N289058.jpg,Animall,MediumBody,2,27,Animall,1,0.930743363453075,1.04985675076023,1
